,Make,Model,Variant,Ex-Showroom_Price,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Height,Width,Doors,City_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
0,Tata,Nano Genx,Xt,292667.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,1652,1750,5,23.6,,660,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230,Yes,1,CD Player with USB & Aux-in,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,110,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tata,Nano Genx,Xe,236447.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,1652,1750,5,23.6,,725,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,,,,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230,,1,Not on offer,,1,2 years /75000 Kms (years/distance whichever comes first),,Internal,110,,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Tata,Nano Genx,Emax Xm,296661.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15,1652,1750,4,,36 km/kg,710,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,,,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230,,1,Not on offer,,1,2 years /75000 Kms (years/distance whichever comes first),,Internal,110,,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tata,Nano Genx,Xta,334768.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,1652,1750,5,23.6,,725,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,Only Front Windows,,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Automatic,2230,Yes,1,CD Player with USB & Aux-in,1,1,2 years /75000 Kms (years/distance whichever comes first),1,Internal,94,1,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),1,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tata,Nano Genx,Xm,272223.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,1652,1750,5,23.6,,725,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,,,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Manual,2230,,1,Not on offer,,1,2 years /75000 Kms (years/distance whichever comes first),,Internal,110,,1,Digital,Front,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tata,Nano Genx,Xma,314815.00,2,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,1652,1750,5,23.6,,710,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325 mm,1315 mm,135/70R12,155/65R12,Electric Power,,,,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4,Fabric,Automatic,2230,,1,Not on offer,,1,2 years /75000 Kms (years/distance whichever comes first),,Internal,94,,1,Digital,Not on offer,1,Front,1,2 years /150000 Kms (years/distance whichever comes first),,Internal,Digital,Manual,Analog + Digital,1,4 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Datsun,Redi-Go,D,279650.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,21.38,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348,,1,Not on offer,,1,2 years / Unlimited Kms,,Internal,222,,1,,Not on offer,1,,1,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Yes,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Datsun,Redi-Go,T,351832.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,21.38,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,Electric Power,Only Front Windows,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348,,1,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,,Internal,222,1,1,,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Datsun,Redi-Go,A,333419.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,21.38,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,Electric Power,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348,,1,Not on offer,,1,2 years / Unlimited Kms,,Internal,222,,1,,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Datsun,Redi-Go,S,362000.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,21.38,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,Electric Power,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348,,1,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,,"With Remote, Internal",222,,1,,Not on offer,1,,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Datsun,Redi-Go,1.0 S,390000.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,80/155R13,80/155R13,Electric Power,,,,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Manual,2348,,1,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,,"With Remote, Internal",222,,1,,Front,1,Yes,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Datsun,Redi-Go,1.0 S Amt,437065.00,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,1541,1560,5,,,,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,,,155/80R13,155/80R13,Electric Power,Only Front Windows,,Yes,68PS@5500rpm,91Nm@4250RPM,Digital,Analog,Digital,Yes,5,Fabric,Automatic,2348,,1,CD Player with USB & Aux-in,1,1,2 years / Unlimited Kms,,"Internal, With Remote",222,1,1,,Front,1,Front,1,2 Years/Unlimited Kms (Whichever comes earlier),1,Internal,Digital,Manual,Analog + Digital,1,4.7 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,Rear sensors,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Renault,Kwid,Rxe 0.8,353290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,300,,1,,Front,,Front,1,,,Internal,Digital,Manual,Digital,1,,1,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Renault,Kwid,Std 0.8,283290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2442,,,Not on offer,,,"2 Years / 50,000 Kms (Whichever comes earlier)",,Internal,300,,,,Front,,Front,1,,,Internal,Digital,Manual,Digital,1,,1,,Not Applicable,Heater,Yes,,Yes,,,,,,,,,,,,Yes,,,,Driver frontal airbag,,Yes,Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Renault,Kwid,Rxl 0.8,383290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Renault,Kwid,Rxt 0.8,413290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1580,5,25.17,,669,Ventilated Disc,Drum,MacPherson Struts With Lower Transverse Links,Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,,,,54PS@5678rpm,72Nm@4386rpm,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,,1,,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,,,Yes,,,,Touch Sensitive,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
16,Renault,Kwid,Rxt 1.0,433290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
17,Renault,Kwid,Climber 1.0 Mt,454490.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,
18,Renault,Kwid,Rxt Amt 1.0,463290.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,2422,,1,CD/MP3/DVD Player with USB & Aux-in,1,,,1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,Yes,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,,Yes,,Yes,,,,,Yes,,Yes,,,,,,,,,
19,Renault,Kwid,Climber Amt 1.0,484490.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,2422,,1,CD/MP3/DVD Player with USB & Aux-in,1,,,1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,Driver frontal airbag,Yes,Yes,Yes,Yes,1,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
20,Renault,Kwid,Rxt (O) 1.0,440990.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
21,Renault,Kwid,Rxt (O) Amt 1.0,470990.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,Only Front Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Automatic,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,
22,Renault,Kwid,Climber (O) Mt 1.0,462190.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,All Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Not on offer,Yes,5,Fabric,Manual,2422,,1,CD Player with USB & Aux-in,1,,"2 Years / 50,000 Kms (Whichever comes earlier)",1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,
23,Renault,Kwid,Climber (O) Amt 1.0,492190.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,28,1490,1579,5,25.17,,669,Ventilated Disc,Drum,"Mac Pherson strut with Lower Transverse link, coil spring",Twist beam suspension with coil spring,,,165/70 R14,165/70 R14,Electric Power,All Windows,,Remote,68PS@5500rpm,91Nm@4250RPM,Digital,Digital,Digital,Yes,5,Fabric,Automatic,2422,,1,CD/MP3/DVD Player with USB & Aux-in,1,,,1,Internal,300,1,1,Digital,Front,,Front,1,,1,Internal,Digital,Manual,Digital,1,,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,Yes,,,,,Yes,,,,,,,Yes,,Front Row,,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,,,,,Rear sensors with camera,,Yes,,,,Touch Sensitive,,,,,Yes,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,
24,Maruti Suzuki,Eeco,5 Str,352136.00,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40,1800,1475,5,12,,920,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,1,,Not on offer,,,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,1,4.5 meter,1,Driver & Front Passenger,,,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,NA,Rear Reading Lamp,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Maruti Suzuki,Eeco,7 Str,380573.00,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40,1800,1475,5,12,,940,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,74PS@6000RPM,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,7,Fabric,Manual,2350,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,250,,1,,Not on offer,,,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,1,4.5 meter,1,Driver & Front Passenger,Not Applicable,,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1540 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967.00,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40,1800,1475,5,11,,928,Ventilated Disc,Drum,McPherson struts,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,73PS@6000rpm,101Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,1,,Not on offer,,,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,1,4.5 meter,1,Co-Driver Only,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,,,,,,,,,,,1510 kg,,,,,,,9.9,Rake,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057.00,4,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,40,1800,1475,5,,20 km/kg,1050,Ventilated Disc,Drum,McPherson Strut,3 Link Rigid,1280 mm,1290 mm,155 R13 LT,155 R13 LT,,,,,62PS@6000rpm,85Nm@3000rpm,Digital,Analog,Not on offer,Yes,5,Fabric,Manual,2350,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,400,,1,,Not on offer,,,1,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Manual,Digital,Manual,Analog + Digital,1,4.5 meter,1,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,Normal,,Yes,,Yes,,,,Yes,,,1510 kg,Driver frontal airbag,,Yes,,,1,9.9,Rake,,,Rear sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
